country,gymnast,dscore1,escore1,nd1,competition
BRAZIL,Thais Fidelis,5.9,7.567,0,Osijek Challenge Cup
BRAZIL,Thais Fidelis,5.9,6.950,0,Koper Challenge Cup
BRAZIL,Thais Fidelis,5.4,6.3,0,Varna Challenge Cup
CHINA,Yan Wang,5.8,7.8,0,Chinese Championships
CHINA,Tingting Liu,6.1,8.1,0.1,Chinese National Games
CHINA,Tingting Liu,6.2,8.5,0,Asian Championships
CHINA,Tingting Liu,6.1,8.366,0,Doha World Cup
CHINA,Tingting Liu,6.0,8.766,0,Melbourne World Cup
ROMANIA,Catalina Ponor,5.8,8.1,0,Doha World Cup
ROMANIA,Catalina Ponor,5.6,8.333,0,Szombathely Challenge Cup
ROMANIA,Catalina Ponor,5.6,8.233,0,Baku World Cup
ROMANIA,Catalina Ponor,6.2,8.366,0,European Championships
ROMANIA,Catalina Ponor,6.1,8.5,0,Romanian Championships
ROMANIA,Larisa Iordache,6.5,7.8,0.1,Paris Challenge Cup
ROMANIA,Larisa Iordache,6.7,8.666,0,Romanian Championships
ROMANIA,Larisa Iordache,6.1,7.566,0,Summer Universiade
ROMANIA,Larisa Iordache,6.0,8.150,0,Koper Challenge Cup
ROMANIA,Larisa Iordache,6.0,7.966,0,European Championships
FRANCE,Marine Boyer,5.7,7.9,0,Paris Challenge Cup
FRANCE,Marine Boyer,6.1,8.8,0,French Championships
FRANCE,Marine Boyer,5.8,8.3,0,City of Jesolo
FRANCE,Marine Boyer,5.7,7.266,0,European Championships
UNITED STATES,Ragan Smith,5.9,8.6,0,U.S. Championships (P&Gs)
UNITED STATES,Ragan Smith,6.1,8.950,0,U.S. Championships (P&Gs)
UNITED STATES,Ragan Smith,6.2,9.150,0,U.S. Classic
UNITED STATES,Morgan Hurd,5.5,8.5,0,U.S. Championships (P&Gs)
UNITED STATES,Morgan Hurd,5.3,8.350,0,U.S. Championships (P&Gs)
UNITED STATES,Morgan Hurd,5.5,8.150,0,U.S. Classic
NETHERLANDS,Eythora Thorsdottir,5.8,7.267,0,Dutch Women's Invitational
NETHERLANDS,Eythora Thorsdottir,5.6,8.466,0,European Championships
NETHERLANDS,Sanne Wevers,6.1,6.067,0,Dutch Women's Invitational
NETHERLANDS,Sanne Wevers,5.9,7.1,0.1,Paris Challenge Cup
NETHERLANDS,Sanne Wevers,6.0,8.500,0,Melbourne World Cup
NETHERLANDS,Sanne Wevers,5,6,7.841,0.1,European Championships
CANADA,Ellie Black,5.8,8.333,0,Summer Universiade
CANADA,Ellie Black,5.1,8.000,0,Koper Challenge Cup
